,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1E+11,1,1,1,0.999984861,0.999994954,0.999984861,0.999994954,0.999994954,0.99995963,0.999984861,0.999974769,0.999772918,0.999858705,0.99974264,0.999783011,0.999823381,0.999298569,0.99987889,0.999424726,0.999611438,0.997683768,0.996437349,0.998587047,0.991850424,0.985644151,0.992208691,0.9989201,0.984110362,0.981708892,0.970032235,0.89804175,0.900094142
2E+11,1,1,0.999996432,0.999992864,0.999996432,1,1,0.999985727,0.999967886,0.999992864,0.999964318,0.999992864,0.999846565,0.999875111,0.999636039,0.999850134,0.999932203,0.999603924,0.999539696,0.999953613,0.998333629,0.997587868,0.998472791,0.997491526,0.990369532,0.991853831,0.997388047,0.987657922,0.960144982,0.994073194,0.989242058,0.925542714
3E+11,1,1,0.999997087,0.999994173,0.999997087,1,1,0.999997087,0.999962125,0.999982519,0.999959212,0.999921337,0.999988346,0.999962125,0.99961251,0.999825192,0.999341558,0.999979606,0.999895115,0.999833933,0.999935904,0.998094597,0.997127332,0.993269981,0.99650677,0.98858253,0.992227005,0.983942079,0.984737301,0.975446301,0.953454733,0.948868819
4E+11,1,1,1,1,1,0.999992431,1,0.999997477,0.999967199,0.999989907,0.999962153,0.999972246,0.999974769,0.999979815,0.999815811,0.999724979,0.999929352,0.999613961,0.999704794,0.99970984,0.99970227,0.998798989,0.998127837,0.999523128,0.997779646,0.992925229,0.98985728,0.990697421,0.993122026,0.997595458,0.98931233,0.966026201
5E+11,1,1,0.999997743,0.999995486,0.999997743,0.99999323,0.999997743,1,0.999975176,0.999990973,0.999966149,0.99993004,0.999911986,0.999896189,0.999887162,0.999661486,0.999695338,0.999984203,0.999819459,0.999449351,0.999174027,0.999959378,0.998758783,0.995892718,0.9954504,0.999936811,0.992895819,0.987331091,0.981548132,0.994331071,0.957243629,0.936762025
6E+11,1,1,1,0.99999382,0.99999794,0.99999382,0.99999588,0.999983519,0.999977339,0.999981459,0.999960858,0.999962918,0.999907294,0.999927895,0.999938196,0.999666259,0.999855791,0.999666259,0.99984343,0.999590034,0.999283075,0.999332518,0.998450784,0.999882573,0.995772635,0.99887723,0.9864759,0.987629421,0.985734366,0.997132306,0.992124254,0.963241768
7E+11,1,1,1,1,1,0.999994278,1,0.999992371,0.999988556,0.999998093,0.999963761,0.999952317,0.999977112,0.999990463,0.999858859,0.99977303,0.999835971,0.999961854,0.999917986,0.999988556,0.999956132,0.999862674,0.998912834,0.996109105,0.995948893,0.997127599,0.993576253,0.98990679,0.997921036,0.986153632,0.998334921,0.996187304
8E+11,1,1,1,1,0.999998216,0.999998216,0.999994648,1,0.999992864,0.999996432,0.999960749,0.999964318,0.999992864,0.999975022,0.999776984,0.99973595,0.999844781,0.999884032,0.999791257,0.999937556,0.999352363,0.998631577,0.999687778,0.999416591,0.997812667,0.996781449,0.995004485,0.993539757,0.998877786,0.988867427,0.952821386,0.966054796
9E+11,1,1,1,1,0.999998318,0.999998318,0.999994954,0.999994954,0.999983179,0.999986543,0.99995963,0.999961312,0.999917578,0.999924306,0.999858705,0.999862069,0.999867115,0.999857022,0.999961312,0.999841884,0.999349032,0.999021025,0.999989907,0.997145502,0.998955423,0.999481917,0.996131212,0.994326364,0.98157436,0.99597478,0.985598742,0.955844195
1E+12,1,1,0.999998404,0.999998404,1,0.999998404,0.999996808,0.999995213,0.999979255,0.999987234,0.999955318,0.99996968,0.999960106,0.999964893,0.99991702,0.999939361,0.999794146,0.99994734,0.999912233,0.99995851,0.999896275,0.998887749,0.999227648,0.999262755,0.996411127,0.996286659,0.997379752,0.999372863,0.984399159,0.999173392,0.96888401,0.973617171
1.1E+12,1,1,0.999998478,0.999998478,1,0.999998478,0.999996957,0.999990871,0.999987828,0.999984785,0.999963484,0.999971091,0.999996957,0.999998478,0.999998478,0.999993914,0.999968048,0.999993914,0.999952833,0.999899581,0.99972765,0.999246855,0.999467473,0.997728394,0.996509676,0.997048285,0.998087469,0.998416113,0.997217171,0.993317623,0.997349541,0.984203234
1.2E+12,1,1,1,0.99999563,0.999997087,0.999997087,0.999998543,0.99999563,0.99999126,0.99999563,0.999965038,0.999970865,0.999969409,0.999957755,0.999938817,0.999908226,0.999790231,0.999975236,0.99991551,0.999836846,0.999399827,0.999914053,0.999921337,0.997672147,0.998557837,0.994621789,0.99862339,0.996748585,0.996994771,0.997978059,0.967448179,0.956909008
1.3E+12,1,1,1,0.999995801,0.9999986,1,0.999995801,1,0.999997201,1,0.999946816,0.99996501,0.999956613,0.99996501,0.999869839,0.999945416,0.999973408,0.999839048,0.999843247,0.999788663,0.99956473,0.9996641,0.999787264,0.999140657,0.99976627,0.997797061,0.999609517,0.994750205,0.988936658,0.998065779,0.998543036,0.970875569
1.4E+12,1,1,0.999998651,0.999997303,0.999998651,1,1,0.999994605,0.999987862,0.999997303,0.999960889,0.999973027,0.999991908,0.999981119,0.999828719,0.999900198,0.999724871,0.999995954,0.999947402,0.999925823,0.999859738,0.999973027,0.999781515,0.997107107,0.996248011,0.999558985,0.997626342,0.995549409,0.989130048,0.992226383,0.990516368,0.999820627
1.5E+12,1,1,1,0.999996091,0.999998697,0.999996091,0.999998697,0.999994788,0.999985668,0.999993485,0.999963518,0.99997785,0.999993485,0.999998697,0.999904885,0.999811074,0.999986971,0.999795438,0.9998671,0.999980456,0.999520518,0.999050157,0.999679477,0.999207813,0.995491851,0.998680122,0.997674255,0.997967416,0.996824744,0.995731589,0.975888857,0.974518826
1.6E+12,1,1,0.999998738,0.999997477,0.999998738,1,1,0.999998738,0.9999836,0.999992431,0.999968461,0.999969722,0.999968461,0.999972246,0.999938183,0.999813288,0.999818334,0.999989907,0.999890244,0.999947014,0.999566021,0.999354078,0.99951682,0.9981783,0.99926703,0.997967619,0.999410849,0.999630361,0.995296908,0.995267893,0.994466815,0.961198175
1.7E+12,1,1,1,0.999996328,0.999998776,1,0.999996328,1,0.999981642,0.999997552,0.999968179,0.99997797,0.999958387,0.999963283,0.999951044,0.99978337,0.999871491,0.999832326,0.999969403,0.999951044,0.99989964,0.999187331,0.998818938,0.999758892,0.99884464,0.999414976,0.999457813,0.99939417,0.987134931,0.998231467,0.972780871,0.983319471
1.8E+12,1,1,1,0.999996432,0.999998811,0.999996432,0.999998811,0.999998811,0.999989295,0.999996432,0.999971454,0.999965507,0.999995242,0.999992864,0.99989771,0.999856081,0.999916741,0.999998811,0.999910794,0.999967886,0.999631281,0.999487362,0.99904371,0.997493904,0.99728219,0.998175437,0.998366933,0.997118051,0.991027234,0.994055353,0.998994944,0.987475963
1.9E+12,1,1,0.999998842,0.999998842,0.999998842,0.999997685,0.999998842,0.999996527,0.999993054,0.999998842,0.999976846,0.99998495,0.999996527,0.999993054,0.999840238,0.999862235,0.999902754,0.999973373,0.999895808,0.999805508,0.999448938,0.999824031,0.99926255,0.999665427,0.997776075,0.997997194,0.999365585,0.99519792,0.999525346,0.996929807,0.979265744,0.976665402
2E+12,1,1,0.999998872,0.999997743,0.999997743,1,0.999998872,1,0.999996615,0.999997743,0.999979689,0.99995825,0.999961635,0.999968405,0.99990973,0.999933426,0.999890547,0.999940196,0.999948095,0.99979125,0.999719034,0.999708878,0.999403087,0.997568347,0.998278095,0.997025599,0.996391456,0.993585234,0.99356041,0.997368625,0.997075248,0.97661769
