,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1E+11,0,0.999994954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90E-22,1.40E-06,4.56E-13,0.228003716,0.070035421,0.365194267,0.450188198,0.820137784,0.787412053,0.919322037,0.955096831,0.930620776,0.975600068,0.999818331,0.988151847,0.943076004
2E+11,0,0.999996432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08E-42,8.85E-12,1.36E-24,0.08805155,0.010450176,0.19990841,0.286736797,0.747335436,0.709838672,0.886423592,0.943576014,0.916587713,0.989723734,0.97485515,0.967234855,0.97897833
3E+11,0,0.999997087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-62,6.40E-17,4.74E-36,0.036689061,0.00171553,0.116781024,0.191840593,0.695680532,0.6431701,0.871166473,0.933437767,0.901467925,0.972353862,0.986368574,0.982523541,0.987571678
4E+11,0,0.999997477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26E-83,4.88E-22,1.72E-47,0.015831926,0.000294108,0.070355762,0.131555718,0.652262437,0.597561365,0.853536946,0.922568419,0.883652419,0.98188042,0.977108237,0.975625286,0.984297039
5E+11,0,0.999997743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-103,3.84E-27,6.47E-59,0.006988085,5.18E-05,0.043103049,0.092072893,0.613849826,0.552666708,0.830651664,0.919411013,0.871171434,0.972718853,0.990517325,0.97186406,0.98610809
6E+11,0,0.99999794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55E-123,3.09E-32,2.50E-70,0.003132153,9.29E-06,0.026549852,0.064869237,0.580486165,0.518089959,0.815385521,0.914295179,0.858581245,0.980881772,0.966606822,0.977928533,0.982788954
7E+11,0,0.999998093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56E-144,2.52E-37,9.77E-82,0.001416008,1.69E-06,0.016672816,0.046041414,0.550660634,0.485230041,0.801830435,0.902787818,0.85241361,0.972536362,0.977759845,0.981517922,0.998500856
8E+11,0,0.999998216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78E-164,2.08E-42,3.85E-93,0.00064515,3.08E-07,0.010489314,0.032917683,0.523664778,0.454226547,0.791007055,0.892464846,0.841705691,0.976504698,0.972595891,0.997286356,0.982049656
9E+11,0,0.999998318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E-184,1.72E-47,1.52E-104,0.000296183,5.67E-08,0.006619927,0.023740656,0.497961038,0.428148767,0.777105225,0.885775487,0.83208636,0.979369804,0.972151955,0.985973788,0.990504838
1E+12,0,0.999998404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53E-204,1.44E-52,6.11E-116,0.000136449,1.05E-08,0.004213144,0.017138264,0.474984818,0.403879884,0.764909526,0.879931541,0.827510144,0.973725625,0.966859027,0.983371695,0.997181877
1.1E+12,0,0.999998478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69E-225,1.21E-57,2.44E-127,6.31E-05,1.95E-09,0.002694026,0.012400229,0.453575564,0.381221096,0.753086567,0.874426594,0.820453108,0.974132842,0.969589415,0.986231053,0.999856978
1.2E+12,0,0.999998543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98E-245,1.02E-62,9.86E-139,2.93E-05,3.64E-10,0.001725101,0.009030421,0.433930333,0.360418967,0.745801346,0.869639877,0.811030114,0.971477453,0.970704436,0.979134705,0.999579003
1.3E+12,0,0.9999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85E-265,8.59E-68,3.97E-150,1.37E-05,6.80E-11,0.001101237,0.006565117,0.415668464,0.34154954,0.733927627,0.863028094,0.801876516,0.966735977,0.9674995,0.979978281,0.995308627
1.4E+12,0,0.999998651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64E-285,7.29E-73,1.63E-161,6.38E-06,1.28E-11,0.000710661,0.004786187,0.397384307,0.322641053,0.723287231,0.863782479,0.793053381,0.965104827,0.968279525,0.985184351,0.989794884
1.5E+12,0,0.999998697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49E-306,6.17E-78,6.59E-173,2.98E-06,2.41E-12,0.000457873,0.003494971,0.380861609,0.306724197,0.712662663,0.857773151,0.783014425,0.966450066,0.968539549,0.994079495,0.983676603
1.6E+12,0,0.999998738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25E-83,2.67E-184,1.40E-06,4.55E-13,0.000295324,0.002564525,0.365131476,0.290203208,0.706461196,0.852027829,0.777540373,0.961615264,0.966149723,0.993568605,0.993238087
1.7E+12,0,0.999998776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49E-88,1.10E-195,6.57E-07,8.58E-14,0.000190977,0.001881188,0.351086605,0.276965162,0.699083439,0.844298459,0.770132649,0.962314261,0.959354773,0.984960396,0.99160176
1.8E+12,0,0.999998811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83E-93,4.49E-207,3.09E-07,1.62E-14,0.000123787,0.001379561,0.337566824,0.261762614,0.687970168,0.839690317,0.763282566,0.957038851,0.962917851,0.987716196,0.995292319
1.9E+12,0,0.999998842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28E-98,1.84E-218,1.45E-07,3.08E-15,8.03E-05,0.001016567,0.324601551,0.249965711,0.68051002,0.837477469,0.756330091,0.960317936,0.964272819,0.985678954,0.996360227
2E+12,0,0.999998872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81E-103,7.54E-230,6.86E-08,5.83E-16,5.18E-05,0.000747138,0.312128097,0.237614583,0.673117986,0.832283168,0.75208274,0.952740681,0.966745016,0.977468135,0.998676412
2.1E+12,0,0.999998899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42E-108,3.11E-241,3.25E-08,1.11E-16,3.38E-05,0.000550325,0.300334358,0.226652095,0.666113334,0.827776466,0.744099049,0.956624775,0.956497227,0.979243897,0.992605646
2.2E+12,0,0.999998924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08E-113,1.28E-252,1.53E-08,2.11E-17,2.20E-05,0.000405102,0.289248308,0.215846269,0.657887256,0.825866289,0.739052257,0.952964535,0.958971608,0.983604936,0.985538983
2.3E+12,0,0.999998948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-118,5.26E-264,7.25E-09,4.03E-18,1.43E-05,0.000299451,0.278252372,0.205539538,0.650993466,0.823660853,0.732442537,0.958633724,0.95707441,0.993525768,0.999513876
2.4E+12,0,0.99999897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54E-123,2.16E-275,3.43E-09,7.66E-19,9.31E-06,0.000221427,0.267984557,0.196053254,0.643638539,0.818155205,0.729524587,0.952327142,0.960446285,0.985888852,0.990560709
2.5E+12,0,0.999998991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32E-128,8.98E-287,1.62E-09,1.46E-19,6.08E-06,0.000163249,0.258402379,0.186926099,0.638337508,0.813574389,0.723617196,0.955648029,0.952111474,0.983637119,0.994325018
2.6E+12,0,0.99999901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14E-133,3.69E-298,7.70E-10,2.78E-20,3.97E-06,0.00012106,0.249026132,0.178402498,0.630807082,0.809595888,0.717863487,0.955114193,0.957163633,0.983840055,0.997576341
2.7E+12,0,0.999999029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83E-139,0.00E+00,3.65E-10,5.31E-21,2.57E-06,8.95E-05,0.240316749,0.170013436,0.623676693,0.805158054,0.714894361,0.953204604,0.955915545,0.983903241,0.998974462
2.8E+12,0,0.999999046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50E-144,6.3e-321,1.74E-10,1.02E-21,1.69E-06,6.62E-05,0.231379728,0.162716438,0.616655194,0.802317467,0.71244807,0.954625764,0.95467337,0.985996304,0.991104496
2.9E+12,0,0.999999063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-149,0,8.25E-11,1.94E-22,1.10E-06,4.90E-05,0.223143038,0.155083664,0.612246245,0.799095643,0.707166154,0.952731992,0.951932229,0.982110062,0.984526231
3E+12,0,0.999999079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35E-154,0,3.92E-11,3.74E-23,7.21E-07,3.64E-05,0.215127265,0.148420171,0.606332823,0.795389871,0.700981661,0.948562581,0.955603443,0.990991547,0.998432839
3.1E+12,0,0.999999094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-159,0,1.86E-11,7.13E-24,4.71E-07,2.70E-05,0.207884355,0.141207081,0.598421283,0.794523489,0.695339916,0.948011345,0.950942887,0.992198385,0.984822507
3.2E+12,0,0.999999108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78E-164,0,8.86E-12,1.36E-24,3.09E-07,2.00E-05,0.200867284,0.135558623,0.59309335,0.791902927,0.689289823,0.948138186,0.949052432,0.987191431,0.9953729
3.3E+12,0,0.999999122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12E-169,0,4.21E-12,2.61E-25,2.02E-07,1.49E-05,0.194004897,0.129128224,0.587983818,0.787110856,0.685018321,0.945303676,0.950819107,0.991148122,0.997921609
3.4E+12,0,0.999999135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58E-174,0,2.01E-12,5.00E-26,1.32E-07,1.10E-05,0.187426306,0.123943612,0.582568581,0.781931175,0.680128943,0.946943465,0.951466514,0.98828167,0.994607563
3.5E+12,0,0.999999147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-179,0,9.57E-13,9.63E-27,8.66E-08,8.18E-06,0.181031826,0.118475782,0.576784676,0.778746012,0.675175202,0.942535406,0.951385836,0.979486518,0.996290427
3.6E+12,0,0.999999159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68E-184,0,4.57E-13,1.84E-27,5.68E-08,6.07E-06,0.175025245,0.113162142,0.571431578,0.776846675,0.670054914,0.945909373,0.946036918,0.981000926,0.993379376
3.7E+12,0,0.99999917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33E-189,0,2.17E-13,3.56E-28,3.73E-08,4.52E-06,0.169039805,0.108465107,0.565931583,0.773416405,0.667309669,0.938440937,0.949963112,0.984843274,0.994364568
3.8E+12,0,0.999999181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02E-194,0,1.04E-13,6.79E-29,2.44E-08,3.37E-06,0.163296889,0.103753537,0.561853784,0.770861212,0.662058456,0.941965812,0.946917013,0.991089591,0.988770647
3.9E+12,0,0.999999192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75E-199,0,4.95E-14,1.30E-29,1.60E-08,2.50E-06,0.15793633,0.099329318,0.55623356,0.767939076,0.658091339,0.938615011,0.949166131,0.988265126,0.995744834
4E+12,0,0.999999202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-204,0,2.36E-14,2.50E-30,1.05E-08,1.86E-06,0.152702095,0.095156428,0.550888672,0.767830408,0.654062265,0.943018925,0.94237351,0.983443488,0.997682946
4.1E+12,0,0.999999212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32E-209,0,1.13E-14,4.81E-31,6.88E-09,1.38E-06,0.147789575,0.091141882,0.545404664,0.763646694,0.649482624,0.939688745,0.945452064,0.985440768,0.997324425
4.2E+12,0,0.999999221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15E-214,0,5.38E-15,9.27E-32,4.52E-09,1.03E-06,0.142715558,0.087098999,0.542130768,0.760755654,0.646548887,0.940341379,0.943321912,0.981721102,0.997639898
4.3E+12,0,0.99999923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-219,0,2.57E-15,1.78E-32,2.98E-09,7.64E-07,0.137947388,0.083572422,0.536784553,0.757118322,0.642277021,0.940476129,0.9449848,0.986325798,0.999203518
4.4E+12,0,0.999999239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67E-225,0,1.23E-15,3.44E-33,1.96E-09,5.70E-07,0.133446605,0.079804652,0.531090038,0.753464539,0.640641591,0.939827569,0.94035025,0.982177798,0.994950155
4.5E+12,0,0.999999248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57E-230,0,5.87E-16,6.59E-34,1.28E-09,4.26E-07,0.129126178,0.076764922,0.526582128,0.751324639,0.638298626,0.94070945,0.941726736,0.98683467,0.991506474
4.6E+12,0,0.999999256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56E-235,0,2.80E-16,1.27E-34,8.45E-10,3.16E-07,0.125126661,0.073215893,0.522634383,0.748645845,0.634133593,0.939448715,0.942845616,0.994128158,0.999955358
4.7E+12,0,0.999999264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70E-240,0,1.34E-16,2.44E-35,5.56E-10,2.36E-07,0.121094573,0.07042095,0.5189244,0.745962222,0.629952457,0.935663453,0.94114038,0.98372581,0.993366583
4.8E+12,0,0.999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-245,0,6.40E-17,4.70E-36,3.64E-10,1.76E-07,0.117204229,0.067418088,0.513474221,0.745038518,0.625063818,0.935587915,0.94117087,0.985062094,0.996455785
4.9E+12,0,0.999999279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-250,0,3.06E-17,9.05E-37,2.39E-10,1.31E-07,0.113457494,0.064737764,0.509140855,0.743479064,0.620925169,0.934615366,0.941637299,0.986397371,0.997936801
5E+12,0,0.999999286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76E-255,0,1.47E-17,1.74E-37,1.58E-10,9.75E-08,0.109908741,0.062039917,0.504634839,0.739592302,0.617254577,0.933597519,0.938835313,0.98003274,0.998696163
5.1E+12,0,0.999999293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27E-260,0,7.01E-18,3.37E-38,1.04E-10,7.28E-08,0.106368195,0.059461611,0.501275818,0.735992445,0.613582028,0.934409411,0.935883475,0.980201877,0.996926924
5.2E+12,0,0.9999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85E-265,0,3.35E-18,6.48E-39,6.82E-11,5.44E-08,0.1029555,0.05706525,0.496982337,0.733749957,0.61031476,0.931428131,0.938492729,0.984665723,0.987880785
