,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1E+11,0.135471617,0.29266594,0.56903006,0.215107372,0.755347331,0.705533383,0.058241776,0.802863264,0.251775717,0.18235114,0.30812691,0.713853948,0.453065907,0.596498136,0.272793817,0.885390316,0.621355182,0.103399425,0.21997626,0.719929557,0.968734469,0.390463565,0.718299956,0.544396509,0.777598147,0.223544759,0.15330626,0.125917823,0.661220101,0.232158927,0.03333806,0.046459044
2E+11,0.104205578,0.325533722,0.863863802,0.486746368,0.927866088,0.624697813,0.037408841,0.867101059,0.541021616,0.049409257,0.408954176,0.900403941,0.299779535,0.419534353,0.046038793,0.085165069,0.884758814,0.71084162,0.574061193,0.140894426,0.214234439,0.926862624,0.564950669,0.356816027,0.171498885,0.003267944,0.083786169,0.446465373,0.226677167,0.7968432,0.145750317,0.854255622
3E+11,0.141053782,0.19331418,0.312946669,0.783627527,0.289306984,0.916876153,0.205025176,0.893981157,0.864621189,0.056657606,0.512035557,0.640482596,0.50066489,0.406043416,0.28612362,0.037799158,0.962107093,0.639233946,0.372680942,0.295411198,0.96320877,0.839462083,0.110239478,0.567800664,0.798556864,0.009153178,0.123089436,0.619488916,0.40825758,0.867981123,0.231736207,0.953492524
4E+11,0.249725406,0.2219355,0.282928085,0.689327961,0.15896069,0.469215469,0.420663979,0.916272669,0.74623253,0.001153479,0.434999955,0.319951278,0.999561078,0.373278743,0.338717897,0.080985642,0.873299675,0.335107077,0.940907075,0.253800028,0.61263735,0.834193583,0.079924467,0.434900774,0.587872741,0.011061468,0.338240741,0.743272103,0.549420158,0.969159864,0.276657321,0.657824897
5E+11,0.154768939,0.490766891,0.530562379,0.71099145,0.257295493,0.587609926,0.351360045,0.881652889,0.606195328,0.051388816,0.681326864,0.425881106,0.334462972,0.616897231,0.348703691,0.218408784,0.834163363,0.302612035,0.356441871,0.300111642,0.874681052,0.56961509,0.11234754,0.794453361,0.707678753,0.058465368,0.292507639,0.913822576,0.766145522,0.903406495,0.612812059,0.426567156
6E+11,0.134231137,0.472959936,0.399083067,0.95004933,0.38254932,0.549058811,0.708298185,0.785348615,0.471695707,0.021987212,0.879430032,0.557670784,0.29105167,0.561883385,0.208312902,0.244472417,0.92179136,0.197683334,0.310797758,0.346886148,0.730322475,0.618171264,0.2255337,0.593486661,0.45039503,0.057075842,0.47006319,0.765166928,0.989561302,0.779643025,0.732663549,0.939771473
7E+11,0.094905083,0.514436992,0.5323716,0.630391251,0.253518102,0.596111852,0.675800241,0.679331018,0.754322299,0.00812412,0.853546057,0.430355938,0.54886157,0.346656529,0.087332456,0.801882105,0.621519065,0.263671117,0.232976777,0.279098646,0.98631263,0.473794568,0.263315875,0.622801834,0.531057803,0.115186282,0.67804381,0.648499247,0.993893653,0.872924367,0.518696156,0.905901029
8E+11,0.130852123,0.514033826,0.415396313,0.412270978,0.351641456,0.343734819,0.891957472,0.943505976,0.621013712,0.000890545,0.458326493,0.386022988,0.941988678,0.424611842,0.312168574,0.695525391,0.730894174,0.444846175,0.239965076,0.372626232,0.903459167,0.560485666,0.509068496,0.371809928,0.378107358,0.29110374,0.83035275,0.768962683,0.950825813,0.736529569,0.541274347,0.733711076
9E+11,0.04410458,0.910222158,0.334835967,0.456170328,0.222726673,0.548989739,0.650616703,0.750017477,0.385140531,0.006943426,0.629399711,0.400989419,0.984364307,0.589832145,0.321562883,0.901990414,0.981534001,0.41084757,0.28361947,0.341920133,0.828974307,0.477021168,0.225176409,0.445701739,0.543462812,0.298103248,0.97455095,0.855050598,0.705340565,0.97755191,0.896320266,0.775082718
1E+12,0.035127102,0.843511395,0.226877289,0.74146027,0.195692177,0.558843615,0.478745516,0.774538596,0.530887772,0.028746915,0.651858411,0.296019956,0.91224285,0.755104526,0.333756463,0.952465795,0.622712266,0.336951555,0.376474643,0.261255907,0.703265584,0.891082685,0.438607682,0.225310239,0.887834639,0.316608337,0.748636196,0.997954016,0.622325086,0.809949766,0.822618803,0.453081257
1.1E+12,0.035213555,0.757100992,0.165405067,0.915492783,0.134828592,0.285824226,0.245656425,0.895766174,0.606610045,0.025006605,0.944966556,0.066620113,0.887219265,0.980293947,0.470617522,0.800126172,0.632630267,0.311367878,0.602496184,0.446792444,0.532007169,0.934657563,0.529223068,0.233241736,0.92976542,0.299329456,0.84546129,0.768705342,0.946676278,0.65817088,0.971677172,0.55849449
1.2E+12,0.021897004,0.865925927,0.249669586,0.748192414,0.293307563,0.327850149,0.162218648,0.992348064,0.627261492,0.06696305,0.990722278,0.113130987,0.706491623,0.975693912,0.354851689,0.786124486,0.622225659,0.380063054,0.627307323,0.420526523,0.378593172,0.489753936,0.52046874,0.219339584,0.9056356,0.526235896,0.887330487,0.825628361,0.659327139,0.985239061,0.986569258,0.551356539
1.3E+12,0.008811701,0.715428296,0.226123941,0.631203825,0.19795301,0.660678796,0.325760563,0.987744102,0.603099718,0.087701181,0.769223997,0.15813567,0.999315722,0.845573111,0.503606416,0.929295775,0.622303907,0.46011786,0.545558679,0.477115067,0.233842668,0.620428462,0.344751799,0.307045443,0.984461339,0.619543765,0.947571431,0.82102529,0.780416075,0.92783322,0.520832789,0.418968277
1.4E+12,0.022188249,0.694477842,0.200228961,0.966212548,0.431056769,0.50145743,0.360736121,0.96993488,0.513967437,0.084965678,0.935651802,0.392330447,0.638936936,0.79922471,0.61432902,0.723949432,0.557424933,0.475596362,0.35337954,0.633841257,0.112713006,0.792498219,0.455426921,0.21451612,0.987773091,0.464198529,0.87040743,0.96616549,0.891448067,0.61044193,0.32945034,0.674025339
1.5E+12,0.019809228,0.913214922,0.27032126,0.915838375,0.592251591,0.785695342,0.28152632,0.860632746,0.763983355,0.084352521,0.9981853,0.471540562,0.698523338,0.645129567,0.652061505,0.814306561,0.447293573,0.575445584,0.399891617,0.736283805,0.159131285,0.869242493,0.406208398,0.149019738,0.928212283,0.425452802,0.774758303,0.692105927,0.713189924,0.581418763,0.638647103,0.982917508
1.6E+12,0.032407297,0.772424893,0.378310363,0.945706275,0.351891271,0.640823176,0.496539264,0.831555718,0.657411521,0.097380131,0.872645475,0.493567646,0.602468915,0.689912514,0.777530971,0.611284628,0.262589836,0.932799369,0.412628397,0.483621144,0.112506532,0.719366529,0.311098986,0.156981614,0.636066819,0.353109792,0.778669449,0.651133237,0.71571147,0.799090102,0.859240089,0.889323143
1.7E+12,0.018679352,0.731257648,0.421493385,0.850399417,0.513737352,0.266431313,0.598831776,0.84838425,0.640985069,0.022498309,0.961508776,0.367364284,0.434811413,0.749218898,0.635985938,0.466014301,0.387664456,0.878908706,0.349131816,0.525068699,0.14682953,0.433017291,0.227903724,0.117849319,0.722977282,0.393727351,0.75635084,0.443954339,0.892144044,0.610968951,0.703572916,0.874112598
1.8E+12,0.031544822,0.71025268,0.395593115,0.972410798,0.651832558,0.409879438,0.693088299,0.79010255,0.624848135,0.051939122,0.922166962,0.682355414,0.685521986,0.791697886,0.650737369,0.30932078,0.474617751,0.688398516,0.31686617,0.590334608,0.187464879,0.378127397,0.342716565,0.067316375,0.70261501,0.276741618,0.802554836,0.528604274,0.829440016,0.722275138,0.656736024,0.795776047
1.9E+12,0.028030992,0.703701884,0.451843569,0.89335663,0.840052521,0.410943501,0.950659392,0.995640305,0.770393228,0.041142378,0.905361376,0.736784468,0.731814199,0.602395545,0.74220369,0.324405793,0.614753871,0.679644955,0.267592057,0.450099991,0.211500524,0.400968854,0.521846793,0.10995652,0.465288087,0.270454179,0.741082727,0.669369545,0.853030345,0.640486117,0.331582708,0.930997486
