,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1E+11,0.992915137,0.908811565,0.920270959,0.89282377,0.92255084,0.917745777,0.881343877,0.879607518,0.999126996,0.893864001,0.93201341,0.992935321,0.989014628,0.945522549,0.911303606,0.905258079,0.905784218,0.903785113,0.886960968,0.89930314,0.960554289,0.865663551,0.987278905,0.962499882,0.96479859,0.861839694,0.887575453,0.98482175,0.978707289,0.917831108,0.97598845,0.908450619
2E+11,0.984725262,0.931861696,0.963395486,0.999050846,0.904369131,0.900045072,0.897206467,0.897379861,0.992103596,0.915650907,0.948962518,0.949364911,0.960340992,0.982652544,0.998476359,0.912592912,0.992100027,0.987782796,0.850351096,0.854917481,0.962586366,0.967366769,0.960957548,0.939981686,0.943529743,0.987593701,0.918014438,0.994758281,0.957461675,0.993141911,0.930443268,0.865999083
3E+11,0.939005011,0.964400568,0.972525654,0.970047904,0.97456978,0.927284783,0.964458779,0.965375632,0.9745261,0.929379811,0.992923292,0.966761186,0.982672087,0.984641174,0.99603188,0.979986612,0.994907302,0.987632847,0.938156802,0.943011685,0.970880583,0.989535143,0.98222061,0.977604242,0.972377156,0.989071944,0.948711816,0.944246815,0.986313225,0.995417149,0.997631358,0.952404804
4E+11,0.989574713,0.993982386,0.9880408,0.981726549,0.982056994,0.985313675,0.95894406,0.961832004,0.970228901,0.963205594,0.950593357,0.989814391,0.974071809,0.997083265,0.94700782,0.973005111,0.948133224,0.975065418,0.954635837,0.957752245,0.980039058,0.959755454,0.973042936,0.976813154,0.978510556,0.962260451,0.990805909,0.993111934,0.969258194,0.954819729,0.983454483,0.964221364
5E+11,0.97748731,0.938010667,0.938087165,0.967128336,0.97045676,0.952340816,0.96465719,0.961437998,0.987606382,0.916319938,0.953345571,0.96263498,0.990291665,0.972055763,0.998081757,0.968003234,0.999968405,0.992218821,0.964864609,0.970199668,0.986507485,0.961248652,0.990591793,0.937938669,0.936478571,0.970201923,0.946118036,0.989217537,0.984339103,0.992839402,0.977020351,0.979323638
6E+11,0.94959132,0.978949983,0.982156649,0.997921332,0.951437757,0.959414434,0.933395285,0.932233389,0.950481607,0.96759896,0.963208841,0.994328512,0.974149904,0.975558332,0.991110727,0.946731733,0.995782935,0.960865012,0.945938322,0.945029871,0.952562607,0.978725508,0.974429936,0.981728252,0.984164827,0.978371294,0.953963148,0.952453614,0.980309225,0.99247446,0.983297693,0.954047472
7E+11,0.99310135,0.98481683,0.994218997,0.998621016,0.99423807,0.998785045,0.99185784,0.99165949,0.992592119,0.986685694,0.994079767,0.993595325,0.990726873,0.996477212,0.989664582,0.994716793,0.986658996,0.997800876,0.992698923,0.995874509,0.997301163,0.99925615,0.989784733,0.988115998,0.985259248,0.989153468,0.994392558,0.993450375,0.98446595,0.992525366,0.993435117,0.999406827
8E+11,0.994139205,0.97893551,0.964742916,0.969158394,0.969543481,0.954221327,0.963447172,0.962698642,0.997746654,0.975632654,0.962443793,0.99656914,0.997634255,0.965892589,0.963997896,0.970413517,0.959512421,0.977214481,0.955265141,0.961329988,0.987789931,0.955275829,0.997641391,0.991218718,0.993250739,0.966309697,0.971854145,0.994463907,0.995448724,0.967978221,0.98447018,0.962258451
9E+11,0.993377694,0.974828361,0.970808826,0.988454549,0.936304881,0.962194083,0.945215448,0.944847946,0.99688478,0.955019578,0.974482025,0.978100278,0.971543419,0.999143817,0.998238855,0.954781103,0.997920941,0.99829941,0.942678411,0.940729044,0.9819006,0.985629014,0.972691583,0.975985088,0.976106143,0.990767223,0.97069284,0.990518291,0.975018343,0.998048779,0.965301052,0.952613186
1E+12,0.975500816,0.977060788,0.978158245,0.988099195,0.977974801,0.964242813,0.978233218,0.977698839,0.986111127,0.970102287,0.997036664,0.978126342,0.995949955,0.995732934,0.997946247,0.988874658,0.999952127,0.983025489,0.962804933,0.965467174,0.985531954,0.984148672,0.994630277,0.984263545,0.984177391,0.9867286,0.973097241,0.963952677,0.991252169,0.992825519,0.996936131,0.967182692
1.1E+12,0.985459771,0.994215284,0.997556465,0.993955114,0.977253522,0.99960593,0.97974028,0.979531902,0.980905399,0.97678053,0.972540715,0.989734681,0.985144872,0.99926207,0.976398796,0.988569315,0.977769108,0.993670601,0.982154221,0.982796142,0.992077648,0.987251842,0.98494559,0.98343351,0.985385229,0.983144487,0.998600215,0.998553048,0.98741158,0.982622731,0.987052551,0.982405208
1.2E+12,0.98198031,0.956721365,0.955906818,0.975910783,0.98448679,0.96388395,0.975881661,0.974595987,0.988247517,0.955064684,0.973336586,0.960614342,0.999223562,0.987012358,0.99434793,0.979674971,0.99188032,0.99917549,0.972332024,0.971960784,0.9896138,0.984478051,0.998630673,0.958909225,0.961741972,0.982811901,0.974777987,0.99954987,0.995705577,0.993693876,0.986716681,0.976225295
1.3E+12,0.955812612,0.987815712,0.984185758,0.991797194,0.966907977,0.971257403,0.962005919,0.962260356,0.977105979,0.983651226,0.980996872,0.991956738,0.977380186,0.977500502,0.993927272,0.96603401,0.992011319,0.973256196,0.96843087,0.968377727,0.978393094,0.982264557,0.976095916,0.986115447,0.986412114,0.984829444,0.965857824,0.974807511,0.974144448,0.997671099,0.985564098,0.973411463
1.4E+12,0.98528009,0.987123448,0.99925958,0.99758858,0.996807704,0.990883182,0.998156368,0.997201513,0.985866666,0.9888037,0.996241268,0.995941866,0.992162998,0.99498972,0.996947965,0.999834113,0.997793577,0.996817145,0.994943866,0.995635722,0.994601311,0.995968839,0.990551431,0.997723446,0.99961428,0.999677668,0.986807901,0.993655918,0.988423414,0.997150264,0.99325133,0.9954577
1.5E+12,0.9915089,0.986014958,0.97366585,0.981649708,0.975240297,0.97353693,0.968336449,0.969437898,0.998259273,0.981635379,0.980381003,0.999740715,0.989894667,0.971940458,0.974198468,0.977992225,0.972522519,0.987071492,0.972302454,0.973599437,0.979028989,0.964109599,0.989660157,0.989318817,0.988340405,0.96751626,0.987730697,0.991288716,0.990883527,0.975636203,0.991701725,0.975054067
1.6E+12,0.993077873,0.977449983,0.975046504,0.9961863,0.961389707,0.971113922,0.946214813,0.946178311,0.994736784,0.962982535,0.971173177,0.982600596,0.986144914,0.999346509,0.993612758,0.953919185,0.993651866,0.991140202,0.960642491,0.956318665,0.994210723,0.992047218,0.985750105,0.978901502,0.982809967,0.995951651,0.983719356,0.996740122,0.984628766,0.997432717,0.97819528,0.965735045
1.7E+12,0.981480399,0.986310137,0.981588073,0.996586556,0.976311243,0.976460494,0.975026747,0.975142961,0.989715861,0.985569793,0.992722797,0.986624634,0.998462784,0.995952583,0.995403061,0.980700994,0.996232853,0.984670384,0.964346232,0.966818652,0.991785335,0.986629529,0.998042987,0.988437007,0.987401707,0.979658554,0.974638964,0.973505009,0.999260765,0.993611315,0.998604756,0.971368134
1.8E+12,0.991566008,0.996855192,0.996008336,0.996561409,0.990798881,0.997925661,0.976495781,0.976724051,0.991950169,0.979301725,0.989710647,0.989877151,0.998117156,0.997986321,0.985079645,0.986073834,0.982755999,0.996736251,0.986950309,0.990752497,0.994903387,0.991218718,0.998429972,0.985895449,0.985928748,0.994752334,0.992048885,0.992403314,0.99774606,0.984765695,0.977014146,0.991705162
1.9E+12,0.984089727,0.968213543,0.968648495,0.982044546,0.982337369,0.978947488,0.983868653,0.983639477,0.988202385,0.960478657,0.983059599,0.974967848,0.995634363,0.990674998,0.983598966,0.984843242,0.982629037,0.996849927,0.969734758,0.972146945,0.995764023,0.981673023,0.995623944,0.971961828,0.972837676,0.990750243,0.979977493,0.999814769,0.995766338,0.987566885,0.997632522,0.972907098
2E+12,0.973981932,0.991484284,0.987350271,0.999740473,0.977718537,0.969896348,0.969440812,0.969079999,0.981275138,0.983907019,0.980413305,0.990432702,0.983100401,0.983712978,0.987112214,0.973863516,0.987494686,0.97961692,0.974349591,0.974673271,0.97666055,0.990080674,0.983117322,0.980837451,0.978888233,0.988481906,0.972323027,0.98678954,0.984339103,0.991124353,0.99331556,0.979592103
2.1E+12,0.986582689,0.996213038,0.990221719,0.990763464,0.998231498,0.988482002,0.995539122,0.994456678,0.986856847,0.99133164,0.991775393,0.996228454,0.999850239,0.994718754,0.997869209,0.998206171,0.997631354,0.992460296,0.995521503,0.995694386,0.997985934,0.99961018,0.999787471,0.997959506,0.997066449,0.999464824,0.994443464,0.983503217,0.996192116,0.994736372,0.993118778,0.998882297
