,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1E+11,0.888769645,0.90792424,0.950734357,0.980326652,0.878914157,0.922249524,0.867001958,0.861312917,0.952104422,0.963462636,0.932928557,0.991774734,0.864459861,0.904987498,0.972493183,0.878046322,0.972558741,0.897861536,0.901070566,0.891408792,0.946227394,0.94079607,0.862426241,0.974782972,0.96492967,0.946866761,0.932159271,0.933582256,0.862605202,0.987198148,0.98013995,0.905007585
2E+11,0.917013574,0.983722794,0.977836897,0.923265741,0.983879777,0.994465663,0.9784754,0.973760296,0.933788828,0.985706342,0.985171207,0.981782115,0.906626139,0.866906764,0.947402922,0.967876629,0.948884177,0.888108628,0.989531124,0.999771572,0.893895244,0.947580951,0.907777967,0.999057993,0.999782346,0.945882689,0.945031889,0.95547712,0.917304587,0.944732853,0.93381015,0.990794175
3E+11,0.917075392,0.975789932,0.982523538,0.99472376,0.965593936,0.994802408,0.959392223,0.960829674,0.968010019,0.963166544,0.968225441,0.978539108,0.98098563,0.950465125,0.998633587,0.975781192,0.995822114,0.921820388,0.972744026,0.969072597,0.977484835,0.982270126,0.980805047,0.976002514,0.976174331,0.977647926,0.968015845,0.952948656,0.982171093,0.996471809,0.981673019,0.981591459
4E+11,0.959465666,0.988452026,0.993831003,0.996906648,0.988671516,0.989491457,0.979713681,0.974487912,0.9736885,0.990558656,0.985649201,0.952041457,0.951051694,0.963795389,0.973184146,0.96981288,0.980836123,0.984829317,0.983643674,0.983923684,0.979466491,0.937430024,0.951517603,0.965237194,0.95400357,0.934193269,0.985798037,0.991893315,0.950016679,0.981570152,0.981116116,0.989940535
5E+11,0.913333326,0.990399975,0.973666149,0.982791297,0.969550186,0.961897849,0.978888235,0.977552733,0.941158815,0.99817204,0.998165261,0.994827544,0.954571203,0.970783767,0.991329705,0.967586076,0.988696276,0.957421658,0.970465783,0.965117124,0.976578213,0.995229239,0.952991871,0.989612428,0.991192044,0.991528287,0.928590218,0.970242516,0.951712318,0.979127367,0.943857638,0.972060275
6E+11,0.963887978,0.960918512,0.973262471,0.953790386,0.989905641,0.997010762,0.973246006,0.971218009,0.978309517,0.960807399,0.997542268,0.966339241,0.952589341,0.952274701,0.985530447,0.973616621,0.98460767,0.957184303,0.9955522,0.995828263,0.965783506,0.994118386,0.95352919,0.96514341,0.970359503,0.993623968,0.984288414,0.957118473,0.959860909,0.979924101,0.989038398,0.992392055
7E+11,0.985863766,0.998994848,0.995248921,0.991548872,0.999961854,0.986813467,0.998773601,0.999826435,0.993379807,0.993829917,0.988928427,0.995470166,0.991323823,0.998622924,0.99272181,0.992815265,0.991340988,0.994180852,0.995821105,0.99617586,0.992677944,0.996006112,0.990930941,0.983234081,0.985800834,0.994890354,0.994655761,0.985909534,0.995422483,0.989201147,0.993955796,0.998622924
8E+11,0.968078052,0.977328618,0.966074402,0.996012498,0.95620571,0.983018208,0.956480055,0.952901533,0.992023314,0.98962561,0.96924397,0.986079186,0.963463212,0.960905869,0.989372285,0.948912666,0.987404605,0.953213211,0.966737513,0.966434477,0.975862699,0.981480668,0.96184322,0.988273375,0.979759499,0.981439645,0.964229599,0.991191958,0.966341783,0.989256328,0.987916589,0.964434569
9E+11,0.949105972,0.992846173,0.997646763,0.977516819,0.996013473,0.989472116,0.993687192,0.991724278,0.962904823,0.999848609,0.997466778,0.999875526,0.952499005,0.947684225,0.961071748,0.983634431,0.9626259,0.954849958,0.989409878,0.990454372,0.946086426,0.979958343,0.953185777,0.995224579,0.99589404,0.978828357,0.972594081,0.986996351,0.953482998,0.963571903,0.975689174,0.992432395
1E+12,0.963595594,0.983813629,0.995243041,0.987199289,0.984865037,0.99531485,0.986948786,0.989615027,0.992760095,0.963697617,0.987818372,0.99299945,0.975545477,0.961756091,0.996454213,0.984949598,0.997299964,0.961348048,0.993624968,0.98980012,0.980946732,0.989916603,0.975108445,0.99212022,0.992611694,0.986870604,0.976189873,0.973690535,0.97982046,0.999262755,0.983738643,0.994264854
